"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"16743","TRINITY_DN49189_c0_g1_i1",-9.190479031,7.614605538,186.5921268,1.76e-42,2.95e-38,"T2_vs_CTL","down"
"16744","TRINITY_DN54152_c0_g1_i1",7.907355776,5.60453638,146.7497004,8.9e-34,7.45e-30,"T2_vs_CTL","up"
"16745","TRINITY_DN58059_c1_g1_i1",-6.676407554,6.1722748,126.2881908,2.66e-29,1.34e-25,"T2_vs_CTL","down"
"16746","TRINITY_DN65437_c0_g1_i1",6.869410593,8.378002358,125.9243694,3.19e-29,1.34e-25,"T2_vs_CTL","up"
"16747","TRINITY_DN942_c0_g1_i1",6.584172585,6.987496199,122.9322919,1.44e-28,4.83e-25,"T2_vs_CTL","up"
"16748","TRINITY_DN58368_c0_g1_i1",-6.580007132,7.299943597,122.2075828,2.08e-28,5.8e-25,"T2_vs_CTL","down"
"16749","TRINITY_DN48091_c0_g1_i2",8.413236748,3.506458627,119.8448687,6.84e-28,1.64e-24,"T2_vs_CTL","up"
"16750","TRINITY_DN64861_c5_g3_i2",-6.789516852,3.984576353,118.7551875,1.18e-27,2.48e-24,"T2_vs_CTL","down"
"16751","TRINITY_DN25019_c0_g1_i1",-7.749353753,2.907724785,113.4265081,1.74e-26,3.24e-23,"T2_vs_CTL","down"
"16752","TRINITY_DN58005_c0_g1_i1",6.634807576,3.679139416,111.7934292,3.97e-26,6.64e-23,"T2_vs_CTL","up"
"16753","TRINITY_DN5468_c0_g1_i1",6.157425124,10.89809399,102.1838231,5.06e-24,7.7e-21,"T2_vs_CTL","up"
"16754","TRINITY_DN41585_c0_g1_i1",-5.712442513,7.545230923,99.37709444,2.09e-23,2.91e-20,"T2_vs_CTL","down"
"16755","TRINITY_DN60398_c0_g1_i1",-5.643503358,5.481233183,98.8216252,2.76e-23,3.56e-20,"T2_vs_CTL","down"
"16756","TRINITY_DN1025_c0_g1_i1",5.760724479,8.820058692,96.92454876,7.2e-23,8.61e-20,"T2_vs_CTL","up"
"16757","TRINITY_DN57212_c0_g1_i1",-6.010369672,3.28927842,95.08011813,1.83e-22,2.04e-19,"T2_vs_CTL","down"
"16758","TRINITY_DN52164_c36_g1_i1",5.791898632,13.85982472,89.61400708,2.89e-21,3.03e-18,"T2_vs_CTL","up"
"16759","TRINITY_DN59854_c0_g1_i1",-5.385075435,4.625830294,89.33843616,3.33e-21,3.28e-18,"T2_vs_CTL","down"
"16760","TRINITY_DN50231_c0_g1_i1",-5.550346557,3.527403064,88.9611559,4.03e-21,3.75e-18,"T2_vs_CTL","down"
"16761","TRINITY_DN108044_c10_g1_i1",5.544825165,11.54485302,86.84128957,1.18e-20,1.04e-17,"T2_vs_CTL","up"
"16762","TRINITY_DN64780_c0_g1_i1",-5.134014707,5.27723734,86.1282599,1.69e-20,1.38e-17,"T2_vs_CTL","down"
"16763","TRINITY_DN48471_c0_g1_i1",-5.374710818,3.676739943,86.08105873,1.73e-20,1.38e-17,"T2_vs_CTL","down"
"16764","TRINITY_DN46786_c0_g1_i1",-5.081601512,5.915512892,85.83516401,1.96e-20,1.49e-17,"T2_vs_CTL","down"
"16765","TRINITY_DN12180_c0_g1_i1",-5.770626774,2.918591875,85.16852408,2.74e-20,1.99e-17,"T2_vs_CTL","down"
"16766","TRINITY_DN54195_c2_g1_i1",5.209341356,4.521785929,82.33991961,1.15e-19,7.99e-17,"T2_vs_CTL","up"
"16767","TRINITY_DN54485_c0_g1_i1",4.926507046,6.449969178,81.21943733,2.02e-19,1.35e-16,"T2_vs_CTL","up"
"16768","TRINITY_DN53925_c1_g1_i1",-4.861857861,6.594439062,79.93450499,3.87e-19,2.49e-16,"T2_vs_CTL","down"
"16769","TRINITY_DN56983_c0_g1_i1",-5.021992033,4.23212411,79.52017136,4.77e-19,2.96e-16,"T2_vs_CTL","down"
"16770","TRINITY_DN26201_c0_g1_i1",5.192637598,11.47011132,78.86222586,6.66e-19,3.98e-16,"T2_vs_CTL","up"
"16771","TRINITY_DN36204_c0_g1_i1",-4.840711376,5.233199311,78.7092104,7.2e-19,4.15e-16,"T2_vs_CTL","down"
"16772","TRINITY_DN26365_c0_g1_i1",-6.089675476,2.183133809,77.84338222,1.12e-18,6.22e-16,"T2_vs_CTL","down"
"16773","TRINITY_DN47834_c1_g1_i1",5.000332228,11.43858161,74.52348348,5.99e-18,3.24e-15,"T2_vs_CTL","up"
"16774","TRINITY_DN64593_c1_g1_i1",7.027727094,1.681628134,73.95128917,8.01e-18,4.19e-15,"T2_vs_CTL","up"
"16775","TRINITY_DN47240_c1_g1_i2",6.598545039,2.299839522,73.74917245,8.87e-18,4.5e-15,"T2_vs_CTL","up"
"16776","TRINITY_DN52290_c0_g1_i1",5.02005696,4.144621912,73.61632109,9.49e-18,4.67e-15,"T2_vs_CTL","up"
"16777","TRINITY_DN64898_c2_g1_i1",-4.681173483,7.871316742,73.05320339,1.26e-17,6.04e-15,"T2_vs_CTL","down"
"16778","TRINITY_DN53689_c0_g1_i1",5.280559952,2.794148927,69.36494665,8.18e-17,3.81e-14,"T2_vs_CTL","up"
"16779","TRINITY_DN64195_c22_g1_i1",-4.433785051,5.602190599,69.2765455,8.56e-17,3.87e-14,"T2_vs_CTL","down"
"16780","TRINITY_DN109110_c0_g1_i1",4.471920524,7.247936881,68.81602629,1.08e-16,4.76e-14,"T2_vs_CTL","up"
"16781","TRINITY_DN47916_c1_g1_i1",-4.746145718,3.35539556,68.65830015,1.17e-16,5.03e-14,"T2_vs_CTL","down"
"16782","TRINITY_DN16700_c0_g1_i1",5.442900992,3.775400869,68.3320992,1.38e-16,5.78e-14,"T2_vs_CTL","up"
"16783","TRINITY_DN56267_c1_g1_i1",4.393585825,6.058244558,68.17497594,1.5e-16,6.11e-14,"T2_vs_CTL","up"
"16784","TRINITY_DN46032_c0_g1_i1",4.499245093,7.910479938,68.12451089,1.53e-16,6.12e-14,"T2_vs_CTL","up"
"16785","TRINITY_DN53243_c0_g1_i1",-4.425507962,4.503371908,67.21063112,2.44e-16,9.5e-14,"T2_vs_CTL","down"
"16786","TRINITY_DN27685_c0_g1_i2",-5.608661502,1.825198128,66.3752553,3.73e-16,1.42e-13,"T2_vs_CTL","down"
"16787","TRINITY_DN26829_c0_g1_i1",4.500258021,9.910198894,65.26434233,6.55e-16,2.4e-13,"T2_vs_CTL","up"
"16788","TRINITY_DN61594_c3_g2_i1",4.419335805,8.689258963,65.2480411,6.6e-16,2.4e-13,"T2_vs_CTL","up"
"16789","TRINITY_DN65151_c2_g1_i1",-4.257493751,6.511114499,65.01958381,7.42e-16,2.64e-13,"T2_vs_CTL","down"
"16790","TRINITY_DN32042_c0_g1_i1",-4.257601519,5.0504352,64.43059846,1e-15,3.44e-13,"T2_vs_CTL","down"
"16791","TRINITY_DN53670_c0_g1_i3",4.814033506,2.881154732,64.41989909,1.01e-15,3.44e-13,"T2_vs_CTL","up"
"16792","TRINITY_DN7975_c0_g1_i1",-4.479117587,3.448214258,64.34905419,1.04e-15,3.49e-13,"T2_vs_CTL","down"
"16793","TRINITY_DN65294_c1_g2_i5",-4.281785676,4.70931329,64.26535888,1.09e-15,3.57e-13,"T2_vs_CTL","down"
