"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN58348_c94_g1_i1",11.42064558,8.774037292,226.2395666,3.94e-51,6.6e-47,"T1_vs_CTL","up"
"TRINITY_DN41876_c1_g1_i1",13.92716655,4.360619187,205.7162036,1.18e-46,9.89e-43,"T1_vs_CTL","up"
"TRINITY_DN65222_c12_g2_i4",8.489764429,4.367936954,152.688215,4.48e-35,1.5e-31,"T1_vs_CTL","up"
"TRINITY_DN54408_c0_g1_i2",7.765241893,8.034710259,148.5546124,3.59e-34,1e-30,"T1_vs_CTL","up"
"TRINITY_DN43718_c0_g1_i1",7.732693003,4.834846558,141.6420238,1.16e-32,2.79e-29,"T1_vs_CTL","up"
"TRINITY_DN51077_c0_g1_i2",7.497678413,8.851058304,139.2879033,3.81e-32,7.97e-29,"T1_vs_CTL","up"
"TRINITY_DN65055_c18_g1_i4",7.1026755,5.97842369,136.5721031,1.5e-31,2.78e-28,"T1_vs_CTL","up"
"TRINITY_DN65222_c12_g3_i1",7.526780403,3.91221677,130.9205355,2.58e-30,4.31e-27,"T1_vs_CTL","up"
"TRINITY_DN42783_c0_g1_i1",6.853706818,9.427902079,122.2415271,2.04e-28,2.63e-25,"T1_vs_CTL","up"
"TRINITY_DN57337_c1_g1_i1",6.669112202,9.180429915,118.1976012,1.57e-27,1.88e-24,"T1_vs_CTL","up"
"TRINITY_DN65055_c18_g1_i5",6.292319382,5.262479052,114.7483471,8.93e-27,9.35e-24,"T1_vs_CTL","up"
"TRINITY_DN16700_c0_g1_i1",7.23410645,3.775400869,111.7423254,4.07e-26,4.01e-23,"T1_vs_CTL","up"
"TRINITY_DN40817_c0_g1_i1",6.590089613,3.353149851,108.9309889,1.68e-25,1.44e-22,"T1_vs_CTL","up"
"TRINITY_DN48091_c0_g1_i2",7.97875516,3.506458627,108.8801291,1.72e-25,1.44e-22,"T1_vs_CTL","up"
"TRINITY_DN58120_c0_g1_i1",5.906790376,7.280732497,104.7920592,1.36e-24,1.03e-21,"T1_vs_CTL","up"
"TRINITY_DN50355_c0_g1_i1",6.129200552,3.904478781,99.44115457,2.02e-23,1.41e-20,"T1_vs_CTL","up"
"TRINITY_DN62917_c90_g1_i1",5.63731806,6.679620262,98.53207662,3.2e-23,2.14e-20,"T1_vs_CTL","up"
"TRINITY_DN6841_c0_g1_i1",5.90708682,10.72659301,96.65080057,8.27e-23,5.33e-20,"T1_vs_CTL","up"
"TRINITY_DN3621_c0_g1_i1",6.288577312,2.877339864,95.41106398,1.55e-22,9.59e-20,"T1_vs_CTL","up"
"TRINITY_DN62534_c21_g2_i6",5.938152938,12.55152811,94.61095378,2.32e-22,1.39e-19,"T1_vs_CTL","up"
"TRINITY_DN131393_c0_g1_i1",7.036979726,2.554018998,92.94294432,5.38e-22,3.11e-19,"T1_vs_CTL","up"
"TRINITY_DN58079_c33_g2_i6",5.38991334,6.450500661,92.35172069,7.26e-22,4.05e-19,"T1_vs_CTL","up"
"TRINITY_DN60496_c7_g1_i1",5.165163277,5.535974017,86.57495281,1.35e-20,6.83e-18,"T1_vs_CTL","up"
"TRINITY_DN37946_c0_g1_i1",6.140794865,2.561011459,86.3829378,1.48e-20,7.3e-18,"T1_vs_CTL","up"
